Country,iso3c,Year,GDP
Aruba,ABW,1988,596648044.692737
Aruba,ABW,1992,958659217.877095
Aruba,ABW,1996,1379888268.15642
Aruba,ABW,2000,1873452513.96648
Aruba,ABW,2004,2254830726.25698
Aruba,ABW,2008,2843024581.00559
Aruba,ABW,2012,2615208379.88827
Aruba,ABW,2016,2983635195.53073
Aruba,ABW,2020,2481857122.8401
Africa Eastern and Southern,AFE,1960,24209933140.9893
Africa Eastern and Southern,AFE,1964,30284919141.1811
Africa Eastern and Southern,AFE,1968,41749510602.9314
Africa Eastern and Southern,AFE,1972,56735886018.8697
Africa Eastern and Southern,AFE,1976,96023171889.5594
Africa Eastern and Southern,AFE,1980,178504202321.607
Africa Eastern and Southern,AFE,1984,170095168125.952
Africa Eastern and Southern,AFE,1988,207464333652.835
Africa Eastern and Southern,AFE,1992,241297872903.172
Africa Eastern and Southern,AFE,1996,273530987732.975
Africa Eastern and Southern,AFE,2000,287201651521.163
Africa Eastern and Southern,AFE,2004,442696186423.428
Africa Eastern and Southern,AFE,2008,713502106251.46
Africa Eastern and Southern,AFE,2012,952998471719.373
Africa Eastern and Southern,AFE,2016,828961170566.435
Africa Eastern and Southern,AFE,2020,933407232177.078
Afghanistan,AFG,2000,3521418059.92345
Afghanistan,AFG,2004,5224896718.67782
Afghanistan,AFG,2008,10109297047.5432
Afghanistan,AFG,2012,19907329777.5872
Afghanistan,AFG,2016,18116572395.0772
Afghanistan,AFG,2020,19955929052.1496
Africa Western and Central,AFW,1960,11905107707.3341
Africa Western and Central,AFW,1964,15803936677.0543
Africa Western and Central,AFW,1968,17022944324.6226
Africa Western and Central,AFW,1972,29489666871.2773
Africa Western and Central,AFW,1976,68386320278.5055
Africa Western and Central,AFW,1980,120501079995.998
Africa Western and Central,AFW,1984,131218159345.846
Africa Western and Central,AFW,1988,111227154872.419
Africa Western and Central,AFW,1992,124599331018.712
Africa Western and Central,AFW,1996,262600874773.758
Africa Western and Central,AFW,2000,142140075688.035
Africa Western and Central,AFW,2004,258566656910.949
Africa Western and Central,AFW,2008,575059454850.507
Africa Western and Central,AFW,2012,748126849686.918
Africa Western and Central,AFW,2016,700028171710.17
Africa Western and Central,AFW,2020,797295175501.973
Angola,AGO,1980,5930503400.96263
Angola,AGO,1984,6131475065.17815
Angola,AGO,1988,8769836768.83482
Angola,AGO,1992,8307810973.58848
Angola,AGO,1996,7526421519.16979
Angola,AGO,2000,9129594970.15301
Angola,AGO,2004,23552057679.4994
Angola,AGO,2008,88538665084.8634
Angola,AGO,2012,128052915766.343
Angola,AGO,2016,52761617225.9253
Angola,AGO,2020,48501561203.5686
Albania,ALB,1980,1578102105.26316
Albania,ALB,1984,1857337995.338
Albania,ALB,1988,2051236250
Albania,ALB,1992,652174990.837304
Albania,ALB,1996,3234486232.04392
Albania,ALB,2000,3584570164.85195
Albania,ALB,2004,7406645793.44038
Albania,ALB,2008,13258506375.4518
Albania,ALB,2012,12246499747.9714
Albania,ALB,2016,11988668784.6628
Albania,ALB,2020,15241455556.3737
Andorra,AND,1972,113414397.365635
Andorra,AND,1976,227283850.831271
Andorra,AND,1980,446377776.798001
Andorra,AND,1984,330073080.637098
Andorra,AND,1988,721425939.15155
Andorra,AND,1992,1209992020.29543
Andorra,AND,1996,1224024139.21295
Andorra,AND,2000,1432606188.69324
Andorra,AND,2004,2900245324.49221
Andorra,AND,2008,4102319399.02343
Andorra,AND,2012,3188652765.36184
Andorra,AND,2016,2896610479.73077
Andorra,AND,2020,2891001149.3611
Arab World,ARB,1964,24811627225.8981
Arab World,ARB,1968,34970677299.2183
Arab World,ARB,1972,59966658268.8852
Arab World,ARB,1976,209993347722.873
Arab World,ARB,1980,486405826809.648
Arab World,ARB,1984,440182151059.07
Arab World,ARB,1988,429382834204.164
Arab World,ARB,1992,467794315257.067
Arab World,ARB,1996,570909722765.544
Arab World,ARB,2000,763411636190.425
Arab World,ARB,2004,987316008401.59
Arab World,ARB,2008,2118071078804.52
Arab World,ARB,2012,2805384177334.91
Arab World,ARB,2016,2524102874214.64
Arab World,ARB,2020,2596422612311.05
United Arab Emirates,ARE,1972,1415086929.3006
United Arab Emirates,ARE,1976,19213158778.7928
United Arab Emirates,ARE,1980,43599160050.3322
United Arab Emirates,ARE,1984,41807954235.903
United Arab Emirates,ARE,1988,36275674203.2144
United Arab Emirates,ARE,1992,54239171887.769
United Arab Emirates,ARE,1996,73571233996.1863
United Arab Emirates,ARE,2000,104337372362.151
United Arab Emirates,ARE,2004,147824370319.946
United Arab Emirates,ARE,2008,315474615738.598
United Arab Emirates,ARE,2012,384610125391.423
United Arab Emirates,ARE,2016,369255326235.534
United Arab Emirates,ARE,2020,349473015330.157
Argentina,ARG,1960,15865474315.4056
Argentina,ARG,1964,25605249381.7597
Argentina,ARG,1968,26436857247.4982
Argentina,ARG,1972,34733000536.2862
Argentina,ARG,1976,51169499892.1722
Argentina,ARG,1980,76961923741.0701
Argentina,ARG,1984,116915052107.031
Argentina,ARG,1988,126890235049.092
Argentina,ARG,1992,228778917308.17
Argentina,ARG,1996,272149750000
Argentina,ARG,2000,284203750000
Argentina,ARG,2004,164657930452.787
Argentina,ARG,2008,361558037110.419
Argentina,ARG,2012,545982375701.128
Argentina,ARG,2016,557532320662.955
Argentina,ARG,2020,385740508436.965
Armenia,ARM,1992,1272835453.42634
Armenia,ARM,1996,1596968946.23708
Armenia,ARM,2000,1911563668.85006
Armenia,ARM,2004,3576615240.41616
Armenia,ARM,2008,11662040713.8753
Armenia,ARM,2012,10619320682.9474
Armenia,ARM,2016,10546136235.5219
Armenia,ARM,2020,12641698583.2152
American Samoa,ASM,2004,509000000
American Samoa,ASM,2008,560000000
American Samoa,ASM,2012,640000000
American Samoa,ASM,2016,671000000
American Samoa,ASM,2020,721000000
Antigua and Barbuda,ATG,1980,132451851.851852
Antigua and Barbuda,ATG,1984,212214814.814815
Antigua and Barbuda,ATG,1988,411396296.296296
Antigua and Barbuda,ATG,1992,525133333.333333
Antigua and Barbuda,ATG,1996,679140740.740741
Antigua and Barbuda,ATG,2000,901003703.703704
