Country,NOC,n_olympics,avg_medals,avg_gdp_billions,avg_efficiency,total_medals
India,IND,12,2.1666666666666665,830.917935001117,0.008189321453654926,26
Israel,ISR,7,1.8571428571428572,203.582221361068,0.010847708241207765,13
Malaysia,MAS,6,2.1666666666666665,223.99830065291366,0.011658065304331413,13
Indonesia,INA,9,4.111111111111111,475.62060698612015,0.0159345113917183,37
Thailand,THA,11,3.1818181818181817,210.63595992617095,0.02164412195720052,35
Spain,ESP,14,11.571428571428571,672.2120173090208,0.023696733296457544,162
Egypt,EGY,6,3.5,211.82467739124021,0.024028954226612328,21
Argentina,ARG,13,3,233.08726201557428,0.030007679637043018,39
Brazil,BRA,16,8.875,684.586466194111,0.03008800989984758,142
Mexico,MEX,16,3.6875,485.92333552564605,0.03603799759131381,59
Algeria,ALG,7,2.4285714285714284,113.10358119499664,0.03723273601825988,17
Canada,CAN,15,15.333333333333334,727.3629870534381,0.03748268961965947,230
Philippines,PHI,6,1.5,147.42574104882732,0.03874107336898338,9
United States,USA,15,105.13333333333334,8189.378744439311,0.042175404400817,1577
France,FRA,16,25.3125,1266.950699520702,0.04261896480040308,405
