Year,Country,NOC,Total_Medals,GDP
2016,India,IND,2,2294796885663.16
2008,India,IND,3,1198895139005.92
2008,Mexico,MEX,4,1161553459984.65
2020,Mexico,MEX,4,1121064767401.51
2016,Indonesia,INA,3,931877364037.698
2012,Indonesia,INA,3,917869913332.649
2012,Turkey,TUR,3,880555885492.269
2004,Mexico,MEX,4,819459227375.022
2020,Kingdom of Saudi Arabia,KSA,1,767951200000
2012,Kingdom of Saudi Arabia,KSA,1,751921333333.333
2004,India,IND,1,709152728830.775
2012,Switzerland,SUI,4,686420221557.99
2016,Argentina,ARG,4,557532320662.955
2012,Argentina,ARG,4,545982375701.128
2008,Belgium,BEL,2,517328087920.078
2012,Norway,NOR,4,512777309840.997
2020,Thailand,THA,2,500461898480.246
2012,Belgium,BEL,3,498414364944.961
2000,India,IND,1,468395521654.458
2020,Ireland,IRL,4,436555518400.451
2020,Nigeria,NGR,2,432198898467.795
1996,Mexico,MEX,1,432157945024.428
2008,Austria,AUT,3,429234399096.173
2020,Israel,ISR,4,410768352657.612
2008,Islamic Republic of Iran,IRI,2,406070949550.867
2016,Nigeria,NGR,1,404649125252.16
2012,Thailand,THA,4,397558325278.579
2016,Austria,AUT,1,393687359770.273
1996,India,IND,1,392896866204.516
2020,Argentina,ARG,3,385740508436.965
2012,Venezuela,VEN,1,381286237847.667
1988,Spain,ESP,4,375891716897.586
2016,Norway,NOR,4,370956547619.048
2016,United Arab Emirates,UAE,1,369255326235.534
2004,Belgium,BEL,3,369214712443.206
1992,Mexico,MEX,1,363157832923.734
2020,Philippines,PHI,4,361751145451.597
2008,Greece,GRE,3,351121399546.485
2020,South Africa,RSA,3,337974655408.055
2020,Malaysia,MAS,2,337456163961.211
2016,Egypt,EGY,3,332441717791.411
1992,Brazil,BRA,3,328191909882.232
2016,Israel,ISR,2,321940971558.016
2016,Singapore,SGP,1,319646468521.497
2016,Philippines,PHI,1,318627003016.731
2008,South Africa,RSA,1,316131258616.309
2008,Venezuela,VEN,1,315953388510.678
2012,Malaysia,MAS,2,314443047642.111
2016,Ireland,IRL,2,305733136180.907
2012,Singapore,SGP,2,295092888076.589
2008,Finland,FIN,4,285698662071.094
2000,Argentina,ARG,4,284203750000
1992,Switzerland,SUI,1,279921425828.474
2012,Egypt,EGY,4,279116666666.667
2008,Ireland,IRL,3,275447471451.063
1996,Argentina,ARG,3,272149750000
2020,Finland,FIN,2,270000311606.226
2008,Portugal,POR,2,263416394624.084
2012,"Hong Kong, China",HKG,1,262628865879.697
2012,Finland,FIN,3,257443384492.969
2016,Vietnam,VIE,2,257096001177.982
2004,Indonesia,INA,4,256836875295.452
2020,Romania,ROU,4,252033792712.145
2008,Colombia,COL,3,242504150472.931
2012,Greece,GRE,2,238841140018.233
2016,Finland,FIN,1,238777818792.608
1980,Brazil,BRA,4,237393489892.637
1996,Austria,AUT,3,235952581232.129
1992,Belgium,BEL,3,234781652446.675
2008,Malaysia,MAS,1,230811614370.384
2020,Portugal,POR,4,229618773422.577
1992,Argentina,ARG,1,228778917308.17
1996,Indonesia,INA,4,227369679374.973
2012,Algeria,ALG,1,227143746075.934
2008,Israel,ISR,1,221231658862.876
2012,Portugal,POR,1,216536676771.973
1988,Switzerland,SUI,4,215540625298.982
2016,Portugal,POR,1,206305431241.638
1980,Mexico,MEX,4,205577055465.993
2004,Finland,FIN,2,197458297639.769
2000,Austria,AUT,3,196181599831.287
2012,Vietnam,VIE,1,195590661129.249
1980,Netherlands,NED,3,195439301706.939
1992,Austria,AUT,2,194314032056.098
2008,Singapore,SGP,1,193617323539.203
2020,Greece,GRE,4,191362985554.861
2000,Kingdom of Saudi Arabia,KSA,2,189514933333.333
2004,Portugal,POR,3,189382122532.169
2012,Qatar,QAT,2,186833502362.637
1980,India,IND,1,186328579302.068
2016,Romania,ROU,4,185290759248.844
1996,Thailand,THA,2,183035237429.281
1988,Mexico,MEX,2,181611150496.787
2016,Algeria,ALG,2,180763839522.151
2008,Algeria,ALG,2,180383848331.135
2008,Chile,CHI,1,179894594475.405
2012,Kuwait,KUW,1,174047662555.419
2004,"Hong Kong, China",HKG,1,169099768875.193
2008,Egypt,EGY,2,162818181818.182
1988,Belgium,BEL,2,162299103675.261
1996,"Hong Kong, China",HKG,1,159718183550.734
1976,Brazil,BRA,2,153168949208.207
2016,Qatar,QAT,1,151732181868.132
2004,United Arab Emirates,UAE,1,147824370319.946
1992,South Africa,RSA,2,146956150986.636
2020,Qatar,QAT,3,144411363351.648
2004,Israel,ISR,2,140047984605.087
2000,Israel,ISR,1,136512300542.025
2004,Nigeria,NGR,2,135764731645.611
1988,Austria,AUT,1,132817124707.456
1996,Finland,FIN,4,131991975148.848
1988,Argentina,ARG,2,126890235049.092
1980,Belgium,BEL,1,126829314388.191
2000,Thailand,THA,3,126392224253.794
2000,Finland,FIN,4,125967821110.589
1988,Islamic Republic of Iran,IRI,1,123057861333.91
1996,Portugal,POR,2,122630089680.27
1980,Switzerland,SUI,2,122557843886.137
2020,Morocco,MAR,1,121353645057.144
1996,Islamic Republic of Iran,IRI,3,120403931883.348
1992,Islamic Republic of Iran,IRI,3,119768691216.667
2000,Portugal,POR,2,118605192877.388
1976,Spain,ESP,2,118422534195.474
2004,Colombia,COL,2,117092416666.245
1988,Denmark,DEN,4,115540189705.118
1996,Israel,ISR,1,115116595544.694
1992,Greece,GRE,2,114608178405.434
2004,Venezuela,VEN,2,112451400424.964
2016,Morocco,MAR,1,111572947004.917
1992,Thailand,THA,1,111452746517.655
2020,Kuwait,KUW,1,111045470461.207
2000,Islamic Republic of Iran,IRI,4,109591707801.431
1988,Finland,FIN,4,109039090262.971
2020,Slovakia,SVK,4,107732602896.441
2020,Ethiopia,ETH,4,107657732424.155
2012,Morocco,MAR,1,106937392311.129
2016,Puerto Rico,PUR,1,104336700000
2020,Puerto Rico,PUR,1,103130900000
2008,Morocco,MAR,2,101822906949.063
2012,Puerto Rico,PUR,2,101564800000
1996,Malaysia,MAS,2,100855393910.486
2000,Ireland,IRL,1,100207610429.909
2000,Colombia,COL,1,99875074951.0278
2008,Vietnam,VIE,1,99130304099.1274
2004,Chile,CHI,3,99075985773.6682
2020,Ecuador,ECU,3,95865473000
2012,Slovakia,SVK,4,94724394278.052
1996,Philippines,PHI,1,94648084429.0341
1988,Turkey,TUR,2,90875175808.7201
2016,Slovakia,SVK,4,90347173228.6356
1976,Mexico,MEX,2,88875923765.072
1988,Indonesia,INA,1,84300174485.7973
1984,Belgium,BEL,4,83349530159.1734
1980,Austria,AUT,4,81737498404.5948
1992,Israel,ISR,2,79457685757.166
2000,Chile,CHI,1,78339750721.364
1996,Ireland,IRL,4,75790785030.2419
2016,Dominican Republic,DOM,1,75552902635.7075
1988,Greece,GRE,1,75200610136.9205
1984,Nigeria,NGR,2,73484359521.4887
