Country,NOC,n_olympics,avg_medals,avg_gdp_billions,avg_efficiency,total_medals
Tonga,TGA,1,1,0.222100576345483,4.502464678184693,1
Djibouti,DJI,1,1,0.39579453863077496,2.5265634120658507,1
San Marino,SMR,1,3,1.5447144932440902,1.942106462469729,3
Suriname,SUR,2,1,0.7828,1.6664516543811625,2
Guyana,GUY,1,1,0.6032,1.6578249336870028,1
Samoa,SAM,1,1,0.641346191664776,1.5592202978616703,1
Bermuda,BER,2,1,3.636832,1.3669275457557784,2
Hungary,HUN,13,22.46153846153846,68.42699785414462,1.3307359189972512,292
Kenya,KEN,13,8.692307692307692,25.832794858789878,1.3121652139137603,113
Grenada,GRN,3,1,0.9683111111111103,1.0501728167450248,3
Eritrea,ERI,1,1,1.10905400543971,0.9016693462132415,1
Bulgaria,BUL,10,14.9,33.59545437458066,0.8426047331779353,149
Jamaica,JAM,14,5.714285714285714,7.237243088941326,0.8273782278328211,80
Burundi,BDI,2,1,1.7567608164089317,0.7644241094430462,2
Georgia,GEO,7,5.714285714285714,10.3461045694495,0.7491681891912342,40
Republic of Moldova,MDA,4,1.5,5.1422805121009905,0.7460039277390653,6
Mongolia,MGL,9,2.6666666666666665,5.819063681002836,0.7306618467557136,24
Uganda,UGA,6,1.8333333333333333,12.45397148510324,0.7302082617407908,11
Cuba,CUB,11,20.363636363636363,44.170416826560185,0.7260905899651299,224
Niger,NIG,2,1,5.570820821288497,0.7212293186320066,2
